RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53322197,202203,M,30대,서울특별시,300이상500만원 미만,"""문화예술 관람하기, 관광-여행""","""문화예술 관람하기, 관광-여행"""
53322210,202203,F,30대,서울특별시,500이상700만원 미만,"""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
53322315,202203,F,20대,서울특별시,무응답,"""문화예술 직접하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
53322374,202203,M,60대,서울특별시,500이상700만원 미만,"""사회교류""","""사회교류"""
53322375,202203,F,60대,서울특별시,500이상700만원 미만,"""관광-여행, 오락-휴식""","""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류"""
53322444,202203,F,20대,서울특별시,300만원 미만,"""문화예술 관람하기, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
53322456,202203,M,60대,서울특별시,300만원 미만,"""문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류""","""문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류"""
53322457,202203,M,40대,서울특별시,700만원 이상,"""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
53322503,202203,F,50대,서울특별시,500이상700만원 미만,"""문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
53322600,202203,F,60대,서울특별시,300이상500만원 미만,"""운동-스포츠 직접하기, 자기계발-자기관리, 사회교류""","""운동-스포츠 직접하기, 관광-여행, 자기계발-자기관리, 사회교류"""
53322622,202203,M,60대,서울특별시,300만원 미만,"""스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식""","""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"""
53322633,202203,M,60대,서울특별시,500이상700만원 미만,"""운동-스포츠 직접하기, 사회교류""","""운동-스포츠 직접하기, 사회교류"""
53322636,202203,F,50대,서울특별시,300이상500만원 미만,"""운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
53322653,202203,F,60대,서울특별시,300만원 미만,"""오락-휴식, 사회교류""","""문화예술 관람하기, 오락-휴식, 사회교류"""
53322654,202203,F,50대,서울특별시,700만원 이상,"""문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
53322669,202203,F,50대,서울특별시,300이상500만원 미만,"""문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류""","""문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
