RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
518,202202,M,50대,경상남도,300만원 미만,"""오락-휴식""","""관광-여행, 오락-휴식"""
539,202202,M,60대,부산광역시,300만원 미만,"""운동-스포츠 직접하기, 자기계발-자기관리""","""운동-스포츠 직접하기, 자기계발-자기관리"""
611,202202,F,40대,서울특별시,300이상500만원 미만,"""운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리""","""운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리"""
791,202202,F,40대,서울특별시,300이상500만원 미만,"""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
863,202202,F,60대,경기도,300이상500만원 미만,"""오락-휴식""","""문화예술 관람하기, 오락-휴식"""
921,202202,M,60대,경기도,500이상700만원 미만,"""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행""","""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"""
1014,202202,F,40대,전라북도,300만원 미만,"""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
1447,202202,M,40대,대전광역시,500이상700만원 미만,"""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
1928,202202,F,30대,경기도,무응답,"""운동-스포츠 직접하기, 오락-휴식""","""문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식"""
2579,202202,M,50대,경기도,700만원 이상,"""관광-여행, 오락-휴식""","""관광-여행, 오락-휴식"""
2703,202202,F,50대,경기도,500이상700만원 미만,"""오락-휴식, 자기계발-자기관리""","""관광-여행, 오락-휴식, 자기계발-자기관리"""
2765,202202,M,60대,경상남도,300이상500만원 미만,"""운동-스포츠 직접하기, 관광-여행, 오락-휴식""","""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"""
2813,202202,M,60대,충청남도,500이상700만원 미만,"""운동-스포츠 직접하기, 관광-여행""","""운동-스포츠 직접하기, 관광-여행"""
2972,202202,F,50대,광주광역시,300만원 미만,"""운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류""","""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
3445,202202,M,40대,부산광역시,무응답,"""운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리""","""스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
3473,202202,F,30대,서울특별시,300이상500만원 미만,"""관광-여행, 오락-휴식, 사회교류""","""문화예술 직접하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 사회교류"""
5352,202202,M,60대,충청북도,300이상500만원 미만,"""오락-휴식""","""관광-여행, 오락-휴식"""
5540,202202,M,40대,제주특별자치도,500이상700만원 미만,"""오락-휴식, 사회교류""","""운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류"""
5622,202202,F,60대,인천광역시,300만원 미만,"""오락-휴식, 자기계발-자기관리""","""오락-휴식, 자기계발-자기관리"""
5748,202202,F,40대,서울특별시,300만원 미만,"""오락-휴식, 자기계발-자기관리""","""오락-휴식, 자기계발-자기관리, 사회교류"""
5787,202202,F,50대,서울특별시,700만원 이상,"""관광-여행, 오락-휴식, 사회교류""","""관광-여행, 오락-휴식, 사회교류"""
5834,202202,M,40대,충청북도,500이상700만원 미만,"""오락-휴식""","""오락-휴식"""
5940,202202,F,40대,강원도,300만원 미만,"""문화예술 관람하기, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
6288,202202,M,30대,충청북도,300이상500만원 미만,"""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류""","""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류"""
6686,202202,F,60대,경기도,700만원 이상,"""관광-여행, 오락-휴식, 자기계발-자기관리""","""관광-여행, 오락-휴식, 자기계발-자기관리"""
7106,202202,F,60대,경기도,300만원 미만,"""오락-휴식""","""오락-휴식"""
7484,202202,F,30대,대구광역시,700만원 이상,"""문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
7769,202202,F,40대,경기도,700만원 이상,"""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
8254,202202,F,40대,충청북도,300만원 미만,"""관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
8258,202202,F,40대,경기도,300만원 미만,"""오락-휴식, 자기계발-자기관리""","""오락-휴식, 자기계발-자기관리"""
8422,202202,F,30대,경기도,300이상500만원 미만,"""문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
8719,202202,F,30대,인천광역시,700만원 이상,"""문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
9246,202202,F,30대,부산광역시,300이상500만원 미만,"""문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
9610,202202,M,50대,전라남도,300이상500만원 미만,"""문화예술 관람하기""","""문화예술 관람하기, 오락-휴식"""
9683,202202,M,30대,대구광역시,300만원 미만,"""자기계발-자기관리""","""자기계발-자기관리"""
9936,202202,M,40대,인천광역시,300이상500만원 미만,"""관광-여행""","""관광-여행"""
10128,202202,M,40대,경상남도,500이상700만원 미만,"""스포츠 관람하기, 오락-휴식""","""스포츠 관람하기, 오락-휴식"""
10215,202202,F,60대,경기도,700만원 이상,"""사회교류""","""사회교류"""
10710,202202,M,60대,광주광역시,300만원 미만,"""운동-스포츠 직접하기, 자기계발-자기관리""","""운동-스포츠 직접하기, 자기계발-자기관리"""
10812,202202,M,50대,부산광역시,700만원 이상,"""스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식""","""스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리"""
10979,202202,F,40대,서울특별시,700만원 이상,"""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
11889,202202,F,50대,경기도,700만원 이상,"""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 사회교류""","""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 사회교류"""
12220,202202,F,60대,경기도,300이상500만원 미만,"""문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
12350,202202,F,50대,서울특별시,500이상700만원 미만,"""문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
12522,202202,F,60대,서울특별시,300이상500만원 미만,"""문화예술 관람하기, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 오락-휴식, 자기계발-자기관리, 사회교류"""
13320,202202,F,40대,경기도,300이상500만원 미만,"""오락-휴식, 자기계발-자기관리""","""오락-휴식, 자기계발-자기관리"""
13668,202202,M,40대,인천광역시,300이상500만원 미만,"""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
14003,202202,M,40대,울산광역시,700만원 이상,"""문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
14823,202202,F,60대,충청남도,700만원 이상,"""문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류""","""문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"""
14985,202202,M,40대,광주광역시,700만원 이상,"""문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식""","""문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"""
15410,202202,M,50대,경기도,300만원 미만,"""오락-휴식, 자기계발-자기관리""","""오락-휴식, 자기계발-자기관리"""
16330,202202,F,30대,서울특별시,300이상500만원 미만,"""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
19011,202202,M,50대,대전광역시,700만원 이상,"""관광-여행, 오락-휴식, 자기계발-자기관리""","""문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리"""
