RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
518,202202,M,50대,경상남도,300만원 미만,"""낮잠자기, 산책-걷기, 영상 컨텐츠 제작""","""국내 여행, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 영상 컨텐츠 제작, 음악-라디오 감상, 음주-유흥"""
539,202202,M,60대,부산광역시,300만원 미만,"""걷기-속보-조깅 직접 하기, 등산 직접 하기, 독서, 인테리어""","""걷기-속보-조깅 직접 하기, 등산 직접 하기, 독서, 인테리어"""
611,202202,F,40대,서울특별시,300이상500만원 미만,"""걷기-속보-조깅 직접 하기, 게임, 산책-걷기, 쇼핑, 영상 컨텐츠 제작, 생활공예-원예""","""걷기-속보-조깅 직접 하기, 게임, 산책-걷기, 쇼핑, 영상 컨텐츠 제작, 생활공예-원예"""
791,202202,F,40대,서울특별시,300이상500만원 미만,"""걷기-속보-조깅 직접 하기, 구기스포츠 직접 하기, 국내 여행, 드라이브, 만화책 보기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 온천-사우나-찜질방, 음악-라디오 감상, 기타 자기계발-자기관리, 수다-잡담하기""","""미술관-전시관 관람, 국내 프로스포츠 현장 관람, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 구기스포츠 직접 하기, 등산 직접 하기, 국내 여행, 드라이브, 테마파크-시설 방문, 만화책 보기, 맛집-카페 탐방, 보드게임-퍼즐-바둑-장기-체스 등, 산책-걷기, 쇼핑, 온천-사우나-찜질방, 음악-라디오 감상, 기타 자기계발-자기관리, 수다-잡담하기"""
863,202202,F,60대,경기도,300이상500만원 미만,"""쇼핑""","""영화관 관람, 기타 문화예술관람, 쇼핑"""
921,202202,M,60대,경기도,500이상700만원 미만,"""국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 자전거-싸이클-산악자전거 직접 타기, 줄넘기-맨손체조-스트레칭 직접 하기, 국내 여행""","""국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 격투 스포츠 영상 시청, 구기스포츠 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 줄넘기-맨손체조-스트레칭 직접 하기, 헬스-보디빌딩 직접 하기, 국내 여행, 영상 컨텐츠 시청, 음주-유흥"""
1014,202202,F,40대,전라북도,300만원 미만,"""걷기-속보-조깅 직접 하기, 국내 여행, 드라이브, 맛집-카페 탐방, 산책-걷기, 쇼핑, 독서""","""걷기-속보-조깅 직접 하기, 등산 직접 하기, 요가-필라테스 직접 하기, 국내 여행, 드라이브, 맛집-카페 탐방, 산책-걷기, 쇼핑, 독서, 계모임-동창회-사교모임, 수다-잡담하기"""
1447,202202,M,40대,대전광역시,500이상700만원 미만,"""해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 국내 여행, 드라이브, 액티비티-체험, SNS -인터넷 커뮤니티 활동, 낮잠자기, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 기타 자기계발-자기관리, 수다-잡담하기, 종교활동""","""국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 국내 여행, 드라이브, 액티비티-체험, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 인테리어, 기타 자기계발-자기관리, 수다-잡담하기, 종교활동"""
1928,202202,F,30대,경기도,무응답,"""걷기-속보-조깅 직접 하기, SNS -인터넷 커뮤니티 활동, 게임, 낮잠자기, 산책-걷기, 쇼핑, 영상 컨텐츠 시청""","""영화관 관람, 걷기-속보-조깅 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, SNS -인터넷 커뮤니티 활동, 게임, 낮잠자기, 산책-걷기, 쇼핑, 영상 컨텐츠 시청"""
2579,202202,M,50대,경기도,700만원 이상,"""드라이브, 맛집-카페 탐방, 산책-걷기""","""드라이브, 맛집-카페 탐방, 산책-걷기"""
