RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53322392,202208,F,60대,서울특별시,300이상500만원 미만,"자기계발-자기관리, 사회교류","자기계발-자기관리, 사회교류"
53322445,202208,F,60대,서울특별시,300만원 미만,"문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식","문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"
53322914,202208,F,50대,서울특별시,300만원 미만,"관광-여행","문화예술 관람하기, 관광-여행"
53323248,202208,F,60대,서울특별시,300이상500만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류","문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류"
53323331,202208,M,60대,서울특별시,300이상500만원 미만,"문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식","문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식"
53323652,202208,F,40대,서울특별시,500이상700만원 미만,"문화예술 관람하기, 스포츠 관람하기, 관광-여행, 자기계발-자기관리, 사회교류","문화예술 관람하기, 스포츠 관람하기, 관광-여행, 자기계발-자기관리, 사회교류"
53323752,202208,F,20대,서울특별시,300이상500만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식","문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"
53323767,202208,F,60대,서울특별시,700만원 이상,"운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류","운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류"
53323865,202208,M,60대,서울특별시,300만원 미만,"문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 자기계발-자기관리, 사회교류"
53323903,202208,F,30대,충청북도,500이상700만원 미만,"문화예술 직접하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53323931,202208,F,50대,서울특별시,700만원 이상,"관광-여행, 오락-휴식, 사회교류","관광-여행, 오락-휴식, 사회교류"
53323952,202208,F,60대,서울특별시,700만원 이상,"자기계발-자기관리, 사회교류","문화예술 관람하기, 운동-스포츠 직접하기, 자기계발-자기관리, 사회교류"
53323991,202208,M,40대,서울특별시,500이상700만원 미만,"운동-스포츠 직접하기, 오락-휴식","운동-스포츠 직접하기, 오락-휴식"
53324072,202208,M,60대,서울특별시,700만원 이상,"문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53324075,202208,M,20대,서울특별시,300만원 미만,"문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53324127,202208,M,40대,서울특별시,300만원 미만,"운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류"
53324164,202208,M,20대,경상남도,300만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53324371,202208,F,20대,서울특별시,무응답,"문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류"
53324571,202208,F,40대,서울특별시,300만원 미만,"관광-여행, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53324749,202208,M,50대,강원도,300이상500만원 미만,"스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류","스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류"
53324858,202208,F,60대,서울특별시,300만원 미만,"문화예술 관람하기, 오락-휴식","문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리"
53324998,202208,F,60대,서울특별시,500이상700만원 미만,"문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53325053,202208,F,50대,서울특별시,500이상700만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 사회교류","문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 사회교류"
53325170,202208,M,60대,서울특별시,700만원 이상,"문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53325171,202208,F,20대,서울특별시,무응답,"문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식","문화예술 관람하기, 운동-스포츠 직접하기, 오락-휴식"
53325178,202208,M,20대,서울특별시,300만원 미만,"문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53325495,202208,F,50대,경기도,700만원 이상,"문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53325557,202208,F,50대,경기도,500이상700만원 미만,"운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리","운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53325651,202208,M,40대,광주광역시,300이상500만원 미만,"문화예술 관람하기, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 오락-휴식, 자기계발-자기관리, 사회교류"
53325751,202208,M,20대,광주광역시,무응답,"오락-휴식, 자기계발-자기관리","오락-휴식, 자기계발-자기관리"
53325820,202208,M,60대,부산광역시,500이상700만원 미만,"운동-스포츠 직접하기, 오락-휴식","운동-스포츠 직접하기, 오락-휴식"
53325899,202208,M,50대,서울특별시,300만원 미만,"문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류"
53325906,202208,M,50대,전라남도,300이상500만원 미만,"문화예술 관람하기, 문화예술 직접하기, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 오락-휴식, 자기계발-자기관리, 사회교류"
53326153,202208,M,30대,경기도,300만원 미만,"문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 문화예술 직접하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53326205,202208,M,30대,경기도,700만원 이상,"문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류","문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 사회교류"
53326308,202208,M,20대,경상북도,300이상500만원 미만,"운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53326343,202208,M,60대,경기도,300만원 미만,"스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53326419,202208,F,50대,울산광역시,700만원 이상,"문화예술 직접하기, 운동-스포츠 직접하기, 자기계발-자기관리, 사회교류","문화예술 직접하기, 운동-스포츠 직접하기, 자기계발-자기관리, 사회교류"
53326496,202208,F,20대,부산광역시,300만원 미만,"관광-여행","관광-여행"
53326552,202208,F,40대,충청남도,500이상700만원 미만,"관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
53326600,202208,M,60대,인천광역시,500이상700만원 미만,"운동-스포츠 직접하기, 관광-여행, 자기계발-자기관리, 사회교류","운동-스포츠 직접하기, 관광-여행, 자기계발-자기관리, 사회교류"
53326724,202208,F,60대,전라남도,300만원 미만,"문화예술 직접하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리","문화예술 직접하기, 운동-스포츠 직접하기, 오락-휴식, 자기계발-자기관리"
53326837,202208,M,60대,강원도,300만원 미만,"관광-여행","문화예술 관람하기, 관광-여행"
53327098,202208,F,50대,대구광역시,500이상700만원 미만,"문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53327099,202208,M,50대,경상북도,300만원 미만,"문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식","문화예술 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식"
53327106,202208,F,30대,서울특별시,500이상700만원 미만,"문화예술 관람하기, 스포츠 관람하기, 오락-휴식, 자기계발-자기관리","문화예술 관람하기, 스포츠 관람하기, 관광-여행, 오락-휴식, 자기계발-자기관리"
53327141,202208,M,40대,대전광역시,300만원 미만,"사회교류","사회교류"
53327176,202208,F,30대,경기도,700만원 이상,"문화예술 관람하기, 관광-여행, 오락-휴식, 사회교류","문화예술 관람하기, 문화예술 직접하기, 관광-여행, 오락-휴식, 사회교류"
53327284,202208,M,40대,경기도,300이상500만원 미만,"관광-여행","문화예술 관람하기, 관광-여행"
53327413,202208,M,20대,대전광역시,300만원 미만,"오락-휴식","문화예술 관람하기, 오락-휴식"
53327477,202208,M,40대,경기도,700만원 이상,"스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류","문화예술 관람하기, 스포츠 관람하기, 운동-스포츠 직접하기, 관광-여행, 오락-휴식, 자기계발-자기관리, 사회교류"
