RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53322261,202204,M,60대,서울특별시,300이상500만원 미만,"""걷기-속보-조깅 직접 하기, 등산 직접 하기, 드라이브, 낮잠자기, 사진 촬영, 산책-걷기""","""걷기-속보-조깅 직접 하기, 등산 직접 하기, 드라이브, 낮잠자기, 사진 촬영, 산책-걷기"""
53322284,202204,M,50대,서울특별시,300이상500만원 미만,"""미술관-전시관 관람, 전통예술 직접 활동 및 수강하기, 격투 스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 국내 여행, 신문-잡지보기, 어학-기술-자격증 취득, 사회봉사활동, 종교활동""","""미술관-전시관 관람, 박물관 관람, 영화관 관람, 전통예술 직접 활동 및 수강하기, 격투 스포츠 영상 시청, 기타 스포츠 영상-현장 관람, 걷기-속보-조깅 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 줄넘기-맨손체조-스트레칭 직접 하기, 헬스-보디빌딩 직접 하기, 국내 여행, 소풍-피크닉, 해외여행, 신문-잡지보기, 어학-기술-자격증 취득, 기타 자기계발-자기관리, 사회봉사활동, 종교활동"""
53322372,202204,M,30대,경기도,300만원 미만,"""영화관 관람, 헬스-보디빌딩 직접 하기, 게임""","""영화관 관람, 헬스-보디빌딩 직접 하기, 게임, 영상 컨텐츠 시청"""
53322435,202204,M,60대,서울특별시,무응답,"""소풍-피크닉""","""소풍-피크닉"""
53322536,202204,F,40대,서울특별시,700만원 이상,"""등산 직접 하기, 국내 여행, 독서, 기타 자기계발-자기관리, 수다-잡담하기""","""등산 직접 하기, 국내 여행, 독서, 기타 자기계발-자기관리, 수다-잡담하기"""
53322603,202204,M,60대,서울특별시,300이상500만원 미만,"""미술관-전시관 관람, 기타 문화예술관람, 해외 프로스포츠 영상 시청, e스포츠 영상 시청, 격투 스포츠 영상 시청, 기타 스포츠 영상-현장 관람, 걷기-속보-조깅 직접 하기, 댄스스포츠 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 기타 스포츠-운동 직접하기, 국내 여행, 소풍-피크닉, 기타 관광-여행, 갬블, 산책-걷기, 영상 컨텐츠 시청, 음주-유흥, 독서, 요리-베이킹, 기타 자기계발-자기관리, 수다-잡담하기, 종교활동, 이외 사회교류하기""","""미술관-전시관 관람, 박물관 관람, 기타 문화예술관람, 해외 프로스포츠 영상 시청, e스포츠 영상 시청, 격투 스포츠 영상 시청, 격투 스포츠 현장 관람, 기타 스포츠 영상-현장 관람, 걷기-속보-조깅 직접 하기, 구기스포츠 직접 하기, 댄스스포츠 직접 하기, 등산 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 기타 스포츠-운동 직접하기, 국내 여행, 소풍-피크닉, 축제 참가, 기타 관광-여행, 갬블, 낚시, 산책-걷기, 영상 컨텐츠 시청, 음주-유흥, 기타 취미-오락-휴식, 독서, 요리-베이킹, 기타 자기계발-자기관리, 사회봉사활동, 수다-잡담하기, 종교활동, 헬스-보디빌딩 직접 하기"""
53322604,202204,F,40대,서울특별시,300만원 미만,"""생활공예-원예""","""음악 직접 활동 및 수강하기, 전통예술 직접 활동 및 수강하기, 생활공예-원예"""
53322995,202204,F,40대,서울특별시,500이상700만원 미만,"""영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 낮잠자기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 기타 취미-오락-휴식, 요리-베이킹, 인테리어, 계모임-동창회-사교모임, 수다-잡담하기""","""영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 수영 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 축제 참가, 낮잠자기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 수집, 영상 컨텐츠 시청, 음악-라디오 감상, 기타 취미-오락-휴식, 생활공예-원예, 요리-베이킹, 인테리어, 계모임-동창회-사교모임, 수다-잡담하기"""
53323135,202204,M,40대,서울특별시,500이상700만원 미만,"""미술관-전시관 관람, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 등산 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 국내 여행, 소풍-피크닉, 낮잠자기, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 어학-기술-자격증 취득, 수다-잡담하기""","""미술관-전시관 관람, 박물관 관람, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 등산 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 국내 여행, 소풍-피크닉, 테마파크-시설 방문, 낮잠자기, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 어학-기술-자격증 취득, 수다-잡담하기"""
53323175,202204,F,50대,서울특별시,300만원 미만,"""기타 문화예술관람, 걷기-속보-조깅 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 헬스-보디빌딩 직접 하기, 게임, 만화책 보기, 요리-베이킹, 인테리어, 수다-잡담하기, 종교활동""","""미술관-전시관 관람, 연극-뮤지컬 관람, 기타 문화예술관람, 걷기-속보-조깅 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 헬스-보디빌딩 직접 하기, 국내 여행, 액티비티-체험, 캠핑-차박, 게임, 만화책 보기, 사진 촬영, 산책-걷기, 쇼핑, 생활공예-원예, 요리-베이킹, 인테리어, 수다-잡담하기, 종교활동"""
