RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53359075,202305,M,20대,강원도,300만원 미만,영상 컨텐츠 시청,영상 컨텐츠 시청
53343283,202305,M,20대,강원도,300만원 미만,국내 여행,국내 여행
53337668,202305,M,20대,강원도,300만원 미만,"걷기-속보-조깅 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 드라이브, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 종교활동, 가족-친지 만남, 친구-이성친구 만남","걷기-속보-조깅 직접 하기, 요가-필라테스 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 종교활동, 가족-친지 만남, 친구-이성친구 만남"
53346870,202305,M,20대,강원도,300만원 미만,영화관 관람,"영화관 관람, 축제 참가"
53327777,202305,F,30대,강원도,300만원 미만,"영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 축제 참가, 낮잠자기, 만화책 보기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 생활공예-원예, 기타 자기계발-자기관리, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","연극-뮤지컬 관람, 영화관 관람, 미술 직접 활동 및 수강하기, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 축제 참가, 낮잠자기, 만화책 보기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 수집, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 미용, 생활공예-원예, 기타 자기계발-자기관리, 수다-잡담하기, 가족"
53339835,202305,M,30대,강원도,300만원 미만,사회봉사활동,"미술 직접 활동 및 수강하기, 사회봉사활동"
53340006,202305,F,30대,강원도,300만원 미만,"음악 공연 관람, 헬스-보디빌딩 직접 하기, 기타 스포츠-운동 직접하기, 국내 여행, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 음악-라디오 감상, 기타 취미-오락-휴식, 생활공예-원예, 어학-기술-자격증 취득, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","음악 공연 관람, 걷기-속보-조깅 직접 하기, 헬스-보디빌딩 직접 하기, 기타 스포츠-운동 직접하기, 국내 여행, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 음악-라디오 감상, 기타 취미-오락-휴식, 생활공예-원예, 어학-기술-자격증 취득, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53361462,202305,M,30대,강원도,300만원 미만,"걷기-속보-조깅 직접 하기, 캠핑-차박, 게임","걷기-속보-조깅 직접 하기, 등산 직접 하기, 캠핑-차박, 게임"
53347962,202305,M,30대,강원도,300만원 미만,"국내 프로스포츠 영상 시청, 국내 여행, SNS -인터넷 커뮤니티 활동, 낮잠자기, 만화책 보기, 사진 촬영, 쇼핑, 영상 컨텐츠 시청, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","음악 공연 관람, 국내 프로스포츠 영상 시청, 국내 프로스포츠 현장 관람, 국내 여행, 기타 관광-여행, SNS -인터넷 커뮤니티 활동, 낮잠자기, 만화책 보기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53347108,202305,M,30대,강원도,300만원 미만,"박물관 관람, 걷기-속보-조깅 직접 하기, 낮잠자기, 만화책 보기, 산책-걷기, 영상 컨텐츠 시청, 어학-기술-자격증 취득, 기타 자기계발-자기관리, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남","박물관 관람, 음악 공연 관람, 걷기-속보-조깅 직접 하기, 낮잠자기, 만화책 보기, 산책-걷기, 영상 컨텐츠 시청, 어학-기술-자격증 취득, 기타 자기계발-자기관리, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남"
