RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WT3M_EXPR_LSR_CLTUR_VALUE,ONE_YEAR_WITHIN_EXPR_LSR_CLTUR_VALUE
53322175,202212,F,20대,서울특별시,500이상700만원 미만,"독서, 어학-기술-자격증 취득, 기타 자기계발-자기관리","기타 문화예술관람, 국내 여행, 소풍-피크닉, 독서, 어학-기술-자격증 취득, 기타 자기계발-자기관리"
53322231,202212,M,20대,서울특별시,무응답,"영화관 관람, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 수집, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","미술관-전시관 관람, 박물관 관람, 영화관 관람, 음악 공연 관람, 국내 여행, 축제 참가, 해외여행, SNS -인터넷 커뮤니티 활동, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 수집, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 요리-베이킹, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53322366,202212,F,60대,서울특별시,300만원 미만,해외여행,"기타 문화예술 직접 활동 및 수강하기, 해외여행"
53322377,202212,M,40대,서울특별시,700만원 이상,"영화관 관람, 국내 프로스포츠 현장 관람, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 기타 취미-오락-휴식","영화관 관람, 국내 프로스포츠 영상 시청, 국내 프로스포츠 현장 관람, 겨울레저스포츠 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 국내 여행, 해외여행, SNS -인터넷 커뮤니티 활동, 기타 취미-오락-휴식"
53322428,202212,M,60대,서울특별시,300만원 미만,"영화관 관람, 국내 여행, 산책-걷기, 온천-사우나-찜질방, 종교활동","영화관 관람, 국내 여행, SNS -인터넷 커뮤니티 활동, 맛집-카페 탐방, 산책-걷기, 영상 컨텐츠 시청, 온천-사우나-찜질방, 사회봉사활동, 종교활동, 가족-친지 만남, 기타 사회교류"
53322472,202212,M,20대,서울특별시,300이상500만원 미만,"국내 프로스포츠 영상 시청, 만화책 보기","국내 프로스포츠 영상 시청, 국내 여행, 만화책 보기, 어학-기술-자격증 취득"
53322636,202212,F,50대,서울특별시,500이상700만원 미만,"걷기-속보-조깅 직접 하기, 등산 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 낮잠자기, 산책-걷기, 쇼핑, 음악-라디오 감상, 음주-유흥, 반려동물 돌보기, 신문-잡지보기, 계모임-동창회-사교모임, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","걷기-속보-조깅 직접 하기, 등산 직접 하기, 볼링-당구-포켓볼 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 줄넘기-맨손체조-스트레칭 직접 하기, 국내 여행, 소풍-피크닉, 낮잠자기, 보드게임-퍼즐-바둑-장기-체스 등, 산책-걷기, 쇼핑, 온천-사우나-찜질방, 음악-라디오 감상, 음주-유흥, 독서, 반려동물 돌보기, 신문-잡지보기, 계모임-동창회-사교"
53322653,202212,F,60대,서울특별시,300만원 미만,"낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 기타 취미-오락-휴식","기타 문화예술 직접 활동 및 수강하기, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 음악-라디오 감상, 기타 취미-오락-휴식"
53322733,202212,M,30대,서울특별시,무응답,"e스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 헬스-보디빌딩 직접 하기, 게임, 낮잠자기, 보드게임-퍼즐-바둑-장기-체스 등, 어학-기술-자격증 취득, 가족-친지 만남, 친구-이성친구 만남","e스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 헬스-보디빌딩 직접 하기, 게임, 낮잠자기, 보드게임-퍼즐-바둑-장기-체스 등, 어학-기술-자격증 취득, 가족-친지 만남, 친구-이성친구 만남"
53322749,202212,F,20대,서울특별시,700만원 이상,요리-베이킹,"춤-무용 직접 활동 및 수강하기, 요리-베이킹"
53322796,202212,M,40대,서울특별시,300이상500만원 미만,"국내 프로스포츠 영상 시청, 국내 프로스포츠 현장 관람, 해외 프로스포츠 영상 시청, 격투 스포츠 영상 시청, 기타 스포츠 영상-현장 관람, 걷기-속보-조깅 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, 게임, 쇼핑, 영상 컨텐츠 시청, 요리-베이킹, 종교활동","국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 격투 스포츠 영상 시청, 기타 스포츠 영상-현장 관람, 걷기-속보-조깅 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, 게임, 쇼핑, 영상 컨텐츠 시청, 요리-베이킹, 종교활동"
53322828,202212,M,20대,서울특별시,무응답,"SNS -인터넷 커뮤니티 활동, 게임, 사진 촬영, 영상 컨텐츠 제작","SNS -인터넷 커뮤니티 활동, 게임, 사진 촬영, 영상 컨텐츠 제작"
53322843,202212,F,40대,서울특별시,300이상500만원 미만,미술관-전시관 관람,"미술관-전시관 관람, 해외 프로스포츠 영상 시청, 국내 여행, 사진 촬영, 어학-기술-자격증 취득"
53323192,202212,F,60대,서울특별시,300이상500만원 미만,"미술관-전시관 관람, 영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 드라이브, 테마파크-시설 방문, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 계모임-동창회-사교모임, 가족-친지 만남","미술관-전시관 관람, 영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 국내 여행, 드라이브, 테마파크-시설 방문, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 계모임-동창회-사교모임, 가족-친지 만남"
53323255,202212,F,50대,서울특별시,700만원 이상,"미술관-전시관 관람, 박물관 관람, 영화관 관람, 음악 공연 관람, 사진 직접 활동 및 수강하기, 기타 문화예술 직접 활동 및 수강하기, 국내 프로스포츠 영상 시청, 골프 영상 시청, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 등산 직접 하기, 수영 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 해외","미술관-전시관 관람, 박물관 관람, 영화관 관람, 음악 공연 관람, 사진 직접 활동 및 수강하기, 기타 문화예술 직접 활동 및 수강하기, 국내 프로스포츠 영상 시청, 골프 영상 시청, 걷기-속보-조깅 직접 하기, 골프 직접 하기, 등산 직접 하기, 수영 직접 하기, 자전거-싸이클-산악자전거 직접 타기, 줄넘기-맨손체조-스트레칭 직접 하기, 헬스-보디빌딩 직"
53323471,202212,M,20대,서울특별시,무응답,"국내 프로스포츠 영상 시청, 국내 프로스포츠 현장 관람, 해외 프로스포츠 영상 시청, e스포츠 영상 시청, 격투 스포츠 영상 시청, 걷기-속보-조깅 직접 하기, SNS -인터넷 커뮤니티 활동, 게임, 만화책 보기, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 음주-유흥, 기타 자기계발-자기관리, 계모임-동창회-사교모임, 수다-잡담","영화관 관람, 음악 공연 관람, 국내 프로스포츠 영상 시청, 국내 프로스포츠 현장 관람, 해외 프로스포츠 영상 시청, e스포츠 영상 시청, 격투 스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 국내 여행, 드라이브, SNS -인터넷 커뮤니티 활동, 게임, 만화책 보기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상,"
53323660,202212,F,30대,서울특별시,300이상500만원 미만,"국내 프로스포츠 영상 시청, 국내 여행, 소풍-피크닉, 축제 참가, 테마파크-시설 방문, 기타 관광-여행, 낮잠자기, 보드게임-퍼즐-바둑-장기-체스 등, 사진 촬영, 산책-걷기, 쇼핑, 독서, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남","국내 프로스포츠 영상 시청, 국내 여행, 소풍-피크닉, 축제 참가, 테마파크-시설 방문, 기타 관광-여행, 낮잠자기, 보드게임-퍼즐-바둑-장기-체스 등, 사진 촬영, 산책-걷기, 쇼핑, 독서, 수다-잡담하기, 가족-친지 만남, 친구-이성친구 만남"
53323679,202212,M,30대,서울특별시,700만원 이상,"게임, 쇼핑","게임, 쇼핑"
53323720,202212,F,50대,서울특별시,700만원 이상,"영화관 관람, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 요가-필라테스 직접 하기, 헬스-보디빌딩 직접 하기, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 독서, 인테리어, 계모임-동창회-사교모임, 종교활동, 가족-친지 만남","박물관 관람, 영화관 관람, 춤-무용 직접 활동 및 수강하기, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 요가-필라테스 직접 하기, 헬스-보디빌딩 직접 하기, 기타 스포츠-운동 직접하기, 국내 여행, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 기타 취미-오락-휴식, 독서, 인테리어, 계모임-동창회-사교모임, 종교활동, 가족-친지"
53323724,202212,F,40대,서울특별시,300만원 미만,"미술관-전시관 관람, 기타 문화예술관람, SNS -인터넷 커뮤니티 활동, 산책-걷기, 쇼핑, 음악-라디오 감상, 독서, 어학-기술-자격증 취득, 기타 자기계발-자기관리, 수다-잡담하기, 종교활동, 가족-친지 만남, 기타 사회교류","미술관-전시관 관람, 기타 문화예술관람, SNS -인터넷 커뮤니티 활동, 산책-걷기, 쇼핑, 음악-라디오 감상, 독서, 어학-기술-자격증 취득, 기타 자기계발-자기관리, 수다-잡담하기, 종교활동, 가족-친지 만남, 기타 사회교류"
53323895,202212,F,50대,서울특별시,500이상700만원 미만,"영화관 관람, 국내 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 국내 여행, 액티비티-체험, 게임, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 온천-사우나-찜질방","영화관 관람, 국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 줄넘기-맨손체조-스트레칭 직접 하기, 국내 여행, 액티비티-체험, 게임, 낮잠자기, 맛집-카페 탐방, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 온천-사우나-찜질방"
53323900,202212,F,60대,서울특별시,300이상500만원 미만,"박물관 관람, 음악 공연 관람, 음악 직접 활동 및 수강하기, 국내 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 요가-필라테스 직접 하기, 국내 여행, 소풍-피크닉, SNS -인터넷 커뮤니티 활동, 게임, 낮잠자기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 온천-사우나-찜질방, 음악-라디오 감상, 기타 취미-오락-휴식, 독서, 생","미술관-전시관 관람, 박물관 관람, 음악 공연 관람, 문학 직접 활동 및 수강하기, 음악 직접 활동 및 수강하기, 국내 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 등산 직접 하기, 요가-필라테스 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, SNS -인터넷 커뮤니티 활동, 게임, 낮잠자기, 맛집-카페 탐방, 사진 촬영, 산책-걷기, 쇼핑, 영상"
53323934,202212,F,40대,서울특별시,300이상500만원 미만,"국내 프로스포츠 영상 시청, 낮잠자기, 만화책 보기, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 수다-잡담하기, 종교활동, 가족-친지 만남","영화관 관람, 국내 프로스포츠 영상 시청, 국내 여행, 낮잠자기, 만화책 보기, 산책-걷기, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 수다-잡담하기, 종교활동, 가족-친지 만남"
53324244,202212,F,50대,서울특별시,500이상700만원 미만,"사진 촬영, 기타 취미-오락-휴식","국내 프로스포츠 영상 시청, 국내 프로스포츠 현장 관람, 헬스-보디빌딩 직접 하기, 기타 스포츠-운동 직접하기, 사진 촬영, 기타 취미-오락-휴식"
53324262,202212,M,50대,서울특별시,700만원 이상,"국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 맛집-카페 탐방, 영상 컨텐츠 시청, 영상 컨텐츠 제작, 계모임-동창회-사교모임, 가족-친지 만남","영화관 관람, 국내 프로스포츠 영상 시청, 해외 프로스포츠 영상 시청, 걷기-속보-조깅 직접 하기, 헬스-보디빌딩 직접 하기, 맛집-카페 탐방, 영상 컨텐츠 시청, 영상 컨텐츠 제작, 계모임-동창회-사교모임, 가족-친지 만남"
53324287,202212,F,60대,서울특별시,300만원 미만,"요가-필라테스 직접 하기, 영상 컨텐츠 시청","요가-필라테스 직접 하기, 헬스-보디빌딩 직접 하기, 쇼핑, 영상 컨텐츠 시청, 영상 컨텐츠 제작"
53324312,202212,M,40대,서울특별시,700만원 이상,"골프 직접 하기, 국내 여행, 해외여행, 낮잠자기, 영상 컨텐츠 시청, 온천-사우나-찜질방, 계모임-동창회-사교모임, 친구-이성친구 만남","골프 직접 하기, 국내 여행, 해외여행, 낮잠자기, 영상 컨텐츠 시청, 온천-사우나-찜질방, 계모임-동창회-사교모임, 친구-이성친구 만남"
53324455,202212,M,20대,경기도,무응답,"국내 프로스포츠 영상 시청, 헬스-보디빌딩 직접 하기, 드라이브, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 수다-잡담하기, 종교활동","미술관-전시관 관람, 박물관 관람, 영화관 관람, 기타 문화예술 직접 활동 및 수강하기, 국내 프로스포츠 영상 시청, 헬스-보디빌딩 직접 하기, 국내 여행, 드라이브, 소풍-피크닉, 테마파크-시설 방문, 게임, 맛집-카페 탐방, 사진 촬영, 쇼핑, 영상 컨텐츠 시청, 음악-라디오 감상, 독서, 신문-잡지보기, 수다-잡담하기, 종교활동, 가족-친지 만남, 친"
