id,2021년 취미
0,독서
1,휴
2,테니스
3,헬스
4,넷플릭스
5,와이프
6,골프
7,코로나19
8,발령 및 또다른 도전
9,아기보기
10,주식
11,연봉협상
12,꽃꽂이
13,퇴사
14,게임
15,대학 졸업
16,헬스
17,한강 걷기
18,스포츠 관람
19,부동산 공부
20,졸업요건채우기
21,오징어 게임
22,복학 및 맛집탐방
23,중국어회화
24,워터밤
25,헬스
26,운동
27,기억안남
28,부동산
28,홈가드닝(식물)
29,여행
30,2020년이랑 비슷
31,요리
32,온갖 스타트업 파먹기
33,운전
34,드라이브
35,바흐 칸타타
35,피아노곡들
36,대기업 인턴했습니다!!!!
37,주식
38,취미없음
39,자전거타기
39,음악감상
40,이사
41,과외
42,만화책 읽기
43,드라마시청
44,골프
45,골프
46,뜨개
47,피아노
48,크로스핏
49,축구
50,운전
51,드라이브
51,부동산
52,수영
52,풋살
53,독서
53,OTT
53,요리
53,테니스
54,주식
55,2차전지
56,연애
57,필라테스
58,아이 키우기
59,캠핑 
60,ㅇㅎ
61,기억이안남
62,코로나
63,러닝시작
64,드라마 영화 감상
65,야구직관
66,헬스
67,클라이밍
68,카톡
69,캠핑
70,방탈출
71,주식 코인
72,업무 변경
73,음주가무
74,웹소설
75,달리기
76,아이돌 덕질
77,유튜브
78,테니스
79,기억안남
80,골프
80,자기계발
81,헬스
82,여행
83,웨이트
83,자기계발
84,이직
85,맛집탐방
86,명품
87,이직
88,여행유튜브보기
88,웹툰보기
89,독서
90,국내 여행
91,여행
92,인사합병 여부 및 연봉인상폭
93,그림 그리기
94,부동산
95,주식시장
96,주식투자
97,브롤스타즈
98,유튜브
99,축구
100,게임
101,남자친구 골프
102,기억안남
103,이직
104,게임
105,퇴근 후 산책
106,성형수술과 시술
107,드라마 및 시청각 자료 시청
108,부동산
110,요가
111,따릉이(자전거)
112,마라톤 
113,이직적응
114,운동
115,이직
116,독서
117,독서
118,워케이션
119,이직
120,상장
121,게임
122,국내여행
123,앱태크
124,육아
125,서울 맛집
126,없음
127,호캉스
128,독서
129,골프
130,사내벤처 제도 운영
131,헬스
132,이직
133,골프
134,주가
135,연기
136,클라이밍
137,캠핑
