id,2023년 취미
0,독서
1,여행
2,대학원
3,독서
4,골프
5,골프
6,골프
7,일 하는거
8,내 사업 본격시작
9,없음
10,헬스
11,홀덤우승
12,테니스
13,없음
14,게임
15,하고싶은 일 시작
16,헬스
17,보컬수업
17,러닝
18,스포츠
19,DFMBA 동기들과 밥먹기
20,자격증 탐색/운동도전
21,해외여행
22,맛집
22,뮤지컬
22,게임
23,들나물
24,헬스
25,등산
26,운동
27,운동이 젤 좋은거 같음
28,운동
28,경제동향
29,이직 후 생활
30,사업준비
31,와인
32,유튜브
33,독서
34,여행
35,피아노 협주곡
35,블루마운틴 커피
36,이직도전
37,피아노
37,악기 합주
38,골프
39,수영
39,댄스
39,자전거타기
39,콘서트관람
39,작곡수업듣기
40,다시 이사
41,수영
42,도자기 만들기
42,인형 만들기
43,여행
43,필라테스
44,골프
45,여행
46,해외여행
47,와인
47,독서
48,부동산
49,축구
50,자기계발
51,투자
52,수영
52,축구
52,스쿼시 
53,독서
53,와인
53,테니스
53,골프
53,재테크
53,도예
54,피아노
55,2차전지
56,여행
57,헬스
58,수영
58,공부
59,골프
60,ㅜㅜ
61,오토바이
61,아랍어
62,탁구
63,이직
64,여행
65,애기 키우기
66,주식
67,클라이밍
68,카톡
69,스노우보드
70,보드게임
71,운동
72,집마련
73,바뀌지않았습니나다
74,웹소설
75,보드게임
76,아이돌 덕질
76,공연관람
77,집콕
78,테니스
79,일출산행
80,골프
80,자기계발
81,결혼 및 결혼생활
82,맛집탐방
83,서핑
83,염색
84,연애
85,맛집탐방 여행 
86,테일러 스위프트
87,연애
88,사람들과의 만남
89,DFMBA
90,해외 여행
91,테니스
92,승진
93,위스키
94,그림
95,여행
96,김하성 야구보기
97,대학원 공뷰
98,해외여행
99,축구
100,게임
101,건강 공동취미
102,나는솔로
103,가구
104,게임
105,빅뱅이론
106,테니스
107,술자리
107,사람들과 보내는 시간
108,Dfmbs
110,공연
110, 뮤지컬
111,유튜브
111,OTT 시청 
112,풀코스 도전
113,새로운 취미발견
114,등산
115,골프
116,독서
117,캠핑
118,러닝 및 운동
119,복싱
120,경제공부 
121,자전거
122,요가
123,댄스
124,해외여행
125,서울 맛집
126,없음
127,수영
128,DFMBA
129,자기계발
130,새로운 배움(대학원)
131,학업
132,여행
133,MBA
134,원자재시장
135,DFMBA
136,헬스
137,주식투자
