id,2022년 취미
0,결혼
1,골프
2,투자
3,독서
4,축구
5,골프
6,골프
7,자유로운거
8,이직
9,베이비 크는걸 보며 흥미를 ㅎ
10,술
11,홀덤대회우승상금
12,기타 연주
13,이직
14,게임
15,퇴사
16,헬스
17,F45
18,스포츠
19,여행
20,자격증 탐색
20,야외 활동의 모든것
21,골프
22,브로드웨이 뮤직컬
22,게임
23,영어회화
24,할로윈
25,헬스
26,술자리
27,기억안남
28,경제동향
28,운동
29,여행
30,여행
31,요리+영상촬영
32,캠핑
33,골프
34,여자배구
35,음악감상
35,케냐AA 커피
36,취업
37,피아노
38,요가
39,음악감상
40,일
41,뉴진스
42,애니메이션 보기
43,맛집투어
44,골프
45,명화그리기
46,서핑
47,수영
48,주식과 부동산
49,축구
50,주식
51,개인사업
52,수영
52,풋살
53,독서
53,와인
53,테니스
53,골프
54,운동
55,2차전지
56,기억안남
57,등산
58,자격증 따기
59,골프
60,ㅎㅎ
61,국내여행
61,등산
62,회사생활
63,기억안남
64,여행
65,야구직관
66,여행
67,결혼
68,카톡
69,스노우보드
70,폴댄스
71,vc투자
72,연애
73,바뀌지않았습니나다
74,웹소설
75,게임
76,전시 관람
76,공연 관람아이돌 덕질
77,연애
78,테니스
79,국내여행
80,골프
80,자기계발
81,새직장
82,테니스
83,염색
83,공부
84,상장
85,테니스
86,등산
86,국내여행
86,공연관람
87,여행
88,여행유튜브보기
89,여행
90,클라이밍
91,골프
91,여행
92,이직
93,골프
94,일
95,여행
96,자전거타기
97,육아
98,해외여행
99,축구
100,게임
101,웨딩
101,부동산
102,환승연애
103,결혼
104,게임
105,결혼준비
106,요리
107,드라이브
108,엔데믹
110,골프
111,공부
112,마라톤 
113,여행
114,여행
115,공연
116,독서
117,캠핑
118,워케이션
119,사진전 관람
120,절망
121,게임
122,크로스핏
123,연극 관람
124,육아
125,서울 맛집
126,취미없음
127,여행
128,드라마
129,없음
130,수영
131,여행
132,여행
133,독서
134,우크라이나 전쟁
135,여행
136,언어 공부
137,월드컵
