AREA_NM,TY_ACCTO_CLTUR_ART_VIEWNG_ACT_CO,TY_ACCTO_CLTUR_ART_PARTCPTN_ACT_CO,TY_ACCTO_SPORTS_VIEWNG_ACT_CO,TY_ACCTO_SPORTS_PARTCPTN_ACT_CO,TY_ACCTO_VIEWNG_ACT_CO,TY_ACCTO_HOBBY_RCRT_ACT_CO,TY_ACCTO_REST_ACT_CO,TY_ACCTO_SCT_ND_ETC_ACT_CO,INDVDL_TV_WTCHNG_CO,INDVDL_INTNT_ACT_CO,INDVDL_CNTCT_ACT_CO,INDVDL_WLK_ACT_CO,INDVDL_GAME_ACT_CO,INDVDL_MVM_CO,INDVDL_MUSIC_LSTN_CO,INDVDL_PET_ACT_CO,INDVDL_SPORTS_INDRCT_VIEWNG_CO,INDVDL_READ_ACT_CO,INDVDL_SHOPNG_BRDOT_CO,INDVDL_NAP_CO,INDVDL_CMC_READ_CO,INDVDL_CLIMD_ACT_CO,INDVDL_RADIO_LSTN_CO,INDVDL_NWSPR_MZN_READ_CO,INDVDL_BATH_ACT_CO,INDVDL_GOLF_ACT_CO,INDVDL_NTHG_ACT_CO,INDVDL_LANG_TCHNLGY_CRTFCT_ACQS_ACT_CO,INDVDL_MOVIE_VIEWNG_CO,INDVDL_CYBER_SPORTS_VIEWNG_CO,INDVDL_FART_ACT_CO,INDVDL_GMBL_LTTR_PRCHS_CO,INDVDL_BLRDRM_ACT_CO,INDVDL_BCYCL_ACT_CO,HMPG_ADDR,INDVDL_LVLH_CRFT_ACT_CO,INDVDL_PHOTO_PHT_CO,INDVDL_CLUB_GROUP_CO,INDVDL_NATURE_ATRCT_VIEWNG_CO,INDVDL_SPORTS_VIEWNG_ACT_CO,INDVDL_DSPY_VIEWNG_CO,INDVDL_FSHNG_ACT_CO,INDVDL_COLCT_ACT_CO,INDVDL_SNGRUM_VISIT_CO,INDVDL_WRTNG_READ_DSCSN_ACT_CO,INDVDL_SCT_VLNTWK_ACT_CO,INDVDL_BTY_ACT_CO,INDVDL_FAMILY_ACQNTNC_VISIT_CO,INDVDL_TRDIT_ART_LRN_ACT_CO,INDVDL_CLTUR_RELICS_VISIT_CO,INDVDL_THEMEPARK_AMSMTPRK_ZOO_BTNCGDN_VISIT_CO,INDVDL_ETC_LSR_ACT_CO,INDVDL_MUSEUM_VIEWNG_CO,INDVDL_DMSTC_CAMPING_ACT_CO,INDVDL_AREA_FSTVL_PARTCPT_CO,INDVDL_GROUP_ACT_CO,INDVDL_TRDIT_ART_PBLPRFR_VIEWNG_CO,INDVDL_TOUR_SHIP_BRDNG_CO,INDVDL_OVSEA_TOUR_CO,INDVDL_LTRTR_EVENT_PARTCPTN_CO
서울,80.9,20,59.6,84.7,185.6,379,395,257.9,88,52,74.4,80.6,26.5,17.1,38.8,11.7,43.8,23.4,78.4,46.2,11.8,27.2,13.4,13.5,31,4.7,17.7,7.9,51,3,2.4,1.9,6.4,4.9,2.6,4,10.6,5,39.4,10.9,8.3,5.4,2.2,15.1,1.5,3.3,35.5,59.2,0.3,23.7,14.5,2,6,27.8,6.3,13.4,1.6,1.8,10.4,1
부산,58.5,9.9,63.5,103.8,176.5,496.6,497.9,333.7,95.9,79.9,91.7,81.2,30.5,19.7,56.6,9.2,53.6,34.3,91.6,61,15.4,29.3,28.2,15.8,57,6.9,31.3,6.8,38.3,3.7,2.2,5.8,5.7,4.6,4.9,3.2,3.4,8.7,44.9,4.9,7.2,6.8,1,11.8,1.1,4.2,67.2,78,0.3,24.7,7.6,0.8,3.3,15.1,4.2,40,0.5,1.2,5,0.3
대구,55.7,9.2,54.4,99.1,200.5,475.8,548.1,345.3,98.8,84.4,98.6,95.5,32.4,12.8,71,5.9,47.8,22.8,95.6,76.7,15.6,22.9,23.3,16,41.7,6.5,42.4,3.5,44.9,1.3,1.6,3.9,5.2,4,0.5,1,4.2,6.6,54.8,4.5,3.8,6.6,0.2,5.7,0.7,3.3,70.5,84,0,38.4,10.5,2.9,1.9,17.2,8.1,36.8,0.6,0.5,2.2,0.2
인천,76.3,40.7,60.1,90.1,173.2,455.5,495.4,296.1,95.1,69.4,85.5,88.7,31,12.5,57.7,10.4,50.4,25.9,92.4,61,14.2,20.4,26.4,10.9,53.2,3.1,27.2,7.5,50.3,2.7,3.3,1.8,8,1.6,1.8,2.5,31.5,7.5,55.9,6,7.6,7.6,1.2,9,1.5,3.9,55,70.5,0.6,19.3,16.6,5.2,5.5,15.1,7.4,19.7,0.2,1.2,4,0.5
광주,70.7,20.7,64.4,104.1,191.7,436.1,474.6,320.3,94.1,52.4,83.1,83.2,28.4,19.7,58.6,13.1,49.8,18,84.9,69.4,10.5,28.3,18.6,13.1,50.3,6.2,29.2,6.5,54.3,2.3,3.2,1,12.6,3.3,3.5,9.6,9,5,41.3,6.2,5.9,8.9,1.9,22.4,1.3,5,40.1,81.7,0.6,26.7,11.6,3.2,3.8,20.5,11.3,34.3,1.7,1.2,5.3,0.3
대전,68.3,21.3,90.2,116.7,228,509.4,493.3,343.2,96.4,83.5,96.5,82.2,38.6,10.4,48.1,14.9,74.2,17.5,90.1,72.2,16.8,26,23.9,6,43,9.1,41.6,7.1,48.4,3.5,4.4,7.9,14.2,5.1,3.2,3,11.7,8,50.3,5.2,4.6,6.4,1.2,11.4,0.9,5.9,63.4,86.8,0.5,31.8,12.3,7.1,4.2,28.3,8.5,33.5,1.1,1.7,6.3,0
울산,53.5,9.5,43.2,75.6,162,457.3,480.2,292,97.3,67.4,81.7,80.5,30,15.9,49.3,11.1,40.1,24.1,92.6,54.7,13.3,21.7,22,6.5,47,6,42.9,3.3,38.3,1.4,3.8,6.9,3.6,6.2,0.9,2.3,4.1,7.8,51.4,1,7.5,6.1,0.5,6.5,0.5,3.1,70.2,73.6,0,20.2,5,0.6,4.4,11.1,1.3,25.4,0,0.4,0.4,0
세종,68.8,8.2,78.1,80.6,203.5,508.2,528.4,347.9,92.6,84.1,96.2,81.4,39.1,15.2,62.9,10.9,62.5,20.1,98.7,80.8,17.4,15.1,9.9,7.6,47.2,7.5,59.7,10.6,47.8,7.9,2.1,2.1,5.4,2.8,3.2,1.7,2,5.5,52.6,4.5,9.6,7.9,1.2,10.3,1,3.5,67.1,73.9,0,20.2,8.7,28.3,6.8,30.8,5.9,33.7,0.3,1.8,7.7,0
경기,63.8,16,47.1,61.5,157.2,339,379.4,247.9,87.2,47.5,70.2,74.5,27,10.5,40.1,11,33.9,14.6,70.3,44.9,9.7,22.1,11,6.7,27.8,4.2,24,7.1,4.5,4.5,1.9,1.9,4.9,2.8,2.8,2.9,7.9,6.3,39,6.3,5.5,4.9,1.2,10,1.2,2.8,31.3,54.8,0.3,14.8,9.5,3.3,5,21.9,5.5,14.4,1,1.7,6.8,0.7
강원,45.7,17.6,39.7,63.2,132.7,356.3,394.8,275,90.3,41.4,75.2,69.6,23.5,9.5,34.3,5.7,30.1,9.6,68.6,53.2,8.2,18.5,7.8,5.6,44,4.6,39.9,3.6,34.3,3.5,3.9,1.7,6.8,2.3,3.2,4,6.6,7.3,24.7,5.2,0.6,7,1.2,11.5,1.8,4.3,48,64,0.2,7.7,5.2,5.9,1.3,17.8,9.3,18,0.2,0.8,3.7,1.4
