AREA_NM,TY_ACCTO_CLTUR_ART_VIEWNG_ACT_CO,TY_ACCTO_CLTUR_ART_PARTCPTN_ACT_CO,TY_ACCTO_SPORTS_VIEWNG_ACT_CO,TY_ACCTO_SPORTS_PARTCPTN_ACT_CO,TY_ACCTO_VIEWNG_ACT_CO,TY_ACCTO_HOBBY_RCRT_ACT_CO,TY_ACCTO_REST_ACT_CO,TY_ACCTO_SCT_ND_ETC_ACT_CO,INDVDL_TV_WTCHNG_CO,INDVDL_INTNT_ACT_CO,INDVDL_CNTCT_ACT_CO,INDVDL_WLK_ACT_CO,INDVDL_GAME_ACT_CO,INDVDL_MVM_CO,INDVDL_MUSIC_LSTN_CO,INDVDL_PET_ACT_CO,INDVDL_SPORTS_INDRCT_VIEWNG_CO,INDVDL_READ_ACT_CO,INDVDL_SHOPNG_BRDOT_CO,INDVDL_NAP_CO,INDVDL_CMC_READ_CO,INDVDL_CLIMD_ACT_CO,INDVDL_RADIO_LSTN_CO,INDVDL_NWSPR_MZN_READ_CO,INDVDL_BATH_ACT_CO,INDVDL_GOLF_ACT_CO,INDVDL_NTHG_ACT_CO,INDVDL_LANG_TCHNLGY_CRTFCT_ACQS_ACT_CO,INDVDL_MOVIE_VIEWNG_CO,INDVDL_CYBER_SPORTS_VIEWNG_CO,INDVDL_FART_ACT_CO,INDVDL_GMBL_LTTR_PRCHS_CO,INDVDL_BLRDRM_ACT_CO,INDVDL_BCYCL_ACT_CO,HMPG_ADDR,INDVDL_LVLH_CRFT_ACT_CO,INDVDL_PHOTO_PHT_CO,INDVDL_CLUB_GROUP_CO,INDVDL_NATURE_ATRCT_VIEWNG_CO,INDVDL_SPORTS_VIEWNG_ACT_CO,INDVDL_DSPY_VIEWNG_CO,INDVDL_FSHNG_ACT_CO,INDVDL_COLCT_ACT_CO,INDVDL_SNGRUM_VISIT_CO,INDVDL_WRTNG_READ_DSCSN_ACT_CO,INDVDL_SCT_VLNTWK_ACT_CO,INDVDL_BTY_ACT_CO,INDVDL_FAMILY_ACQNTNC_VISIT_CO,INDVDL_TRDIT_ART_LRN_ACT_CO,INDVDL_CLTUR_RELICS_VISIT_CO,INDVDL_THEMEPARK_AMSMTPRK_ZOO_BTNCGDN_VISIT_CO,INDVDL_ETC_LSR_ACT_CO,INDVDL_MUSEUM_VIEWNG_CO,INDVDL_DMSTC_CAMPING_ACT_CO,INDVDL_AREA_FSTVL_PARTCPT_CO,INDVDL_GROUP_ACT_CO,INDVDL_TRDIT_ART_PBLPRFR_VIEWNG_CO,INDVDL_TOUR_SHIP_BRDNG_CO,INDVDL_OVSEA_TOUR_CO,INDVDL_LTRTR_EVENT_PARTCPTN_CO
서울,0.3,0.5,3.3,6.1,0.4,28.9,53.9,6.6,38.3,18.9,5.2,4.4,2.9,2.4,4.8,1.7,2.7,0.8,0.4,0.6,0.1,0.6,0.2,0.1,0.3,0.3,0.6,0.6,0.1,0.3,0.4,0.2,0.4,0.2,0.0,0.3,0.6,0.1,0.2,0.3,0.5,0.4,0.1,0.2,0.2,0.1,-,0.2,0.1,-,-,-,-,0.2,-,-,0.0,-,-,0.2
부산,0.2,0.3,0.6,7.4,0.1,23.9,62.8,4.8,54.7,13.5,3.4,2.5,4.5,3.9,1.2,0.7,0.6,1.4,0.3,0.0,0.2,0.9,0.5,0.7,0.2,0.2,-,0.2,0.3,0.2,0.1,0.2,0.8,-,0.9,0.2,-,-,-,0.1,0.1,0.2,0.2,-,0.2,0.1,0.3,-,-,-,-,-,-,0.3,0.2,-,-,-,-,0.1
대구,-,0.8,0.7,3.1,0.7,25.1,67.0,2.7,55.5,20.5,2.1,4.7,1.9,1.3,2.2,0.3,0.4,0.6,0.5,0.5,0.7,0.6,0.6,0.2,-,0.7,0.6,0.1,0.5,-,0.1,-,-,0.3,-,-,0.3,-,0.2,-,-,-,-,-,-,-,0.4,-,-,0.1,-,-,-,-,-,-,-,-,0.2,-
인천,-,1.2,1.3,5.2,0.2,33.1,52.1,7.0,41.2,25.8,5.8,4.7,3.0,2.2,0.8,0.9,1.0,0.9,0.6,0.2,0.4,0.6,0.2,0.3,0.4,0.5,0.2,0.3,0.6,0.2,0.9,0.4,0.2,0.1,0.1,-,0.1,0.1,0.2,-,-,-,-,0.0,0.2,-,0.2,0.1,-,-,0.2,-,-,-,-,-,0.2,-,-,-
광주,0.1,0.8,2.6,5.4,0.3,23.0,60.2,7.6,52.2,12.4,6.0,3.2,6.1,1.0,0.8,1.1,2.6,0.7,1.3,0.0,-,-,0.1,0.2,0.2,0.4,0.2,0.9,0.2,1.1,0.5,0.6,-,0.3,0.6,0.1,-,0.1,-,0.2,-,0.2,-,-,0.5,0.4,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-
대전,0.0,0.0,3.2,3.1,-,26.0,61.2,6.4,45.3,15.2,4.5,3.9,3.2,0.4,3.9,1.8,2.9,1.0,0.2,1.1,3.3,1.0,1.4,-,0.8,0.9,1.2,0.5,-,0.8,-,-,-,0.3,0.5,-,0.2,-,-,0.1,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-
울산,0.8,0.7,0.0,13.8,0.2,21.5,56.8,6.1,44.0,9.5,3.6,4.2,5.3,6.4,3.6,0.3,0.0,1.7,1.2,0.4,-,1.1,0.6,0.7,0.3,0.2,1.5,0.7,0.6,0.3,-,0.1,0.4,-,0.6,0.8,-,-,0.2,1.6,-,0.5,1.4,-,-,0.2,-,-,-,-,-,-,-,-,0.2,-,0.2,-,-,-
세종,0.0,-,0.5,1.4,-,24.8,69.3,4.0,56.4,18.4,3.8,1.1,4.1,1.0,7.4,0.0,0.5,0.5,0.0,0.3,0.9,-,-,-,0.3,1.3,0.4,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경기,0.9,1.6,2.2,5.8,0.3,28.9,52.1,8.2,36.9,15.6,6.1,6.2,3.8,1.6,2.6,2.7,1.6,0.8,0.5,0.7,1.0,0.7,0.6,0.8,0.3,0.2,0.4,0.7,0.7,0.2,0.3,0.8,0.2,0.6,0.3,0.5,0.4,0.6,0.2,-,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.3,0.1,0.2,0.3,0.2,-,0.1,0.3,0.0,0.0,0.1,-
강원,0.8,0.7,0.8,4.2,0.1,14.9,67.4,11.0,53.7,7.3,8.3,4.5,2.0,2.3,3.3,1.7,0.3,1.0,0.4,0.2,0.5,0.3,-,0.3,0.6,0.3,0.6,0.1,-,1.1,-,0.1,-,0.2,0.2,0.8,-,0.4,0.1,-,0.2,-,0.4,0.4,0.2,0.4,-,-,-,-,0.5,-,0.2,0.1,-,-,-,0.2,0.3,-
