AREA_NM,TY_ACCTO_CLTUR_ART_VIEWNG_ACT_CO,TY_ACCTO_CLTUR_ART_PARTCPTN_ACT_CO,TY_ACCTO_SPORTS_VIEWNG_ACT_CO,TY_ACCTO_SPORTS_PARTCPTN_ACT_CO,TY_ACCTO_VIEWNG_ACT_CO,TY_ACCTO_HOBBY_RCRT_ACT_CO,TY_ACCTO_REST_ACT_CO,TY_ACCTO_SCT_ND_ETC_ACT_CO,INDVDL_TV_WTCHNG_CO,INDVDL_INTNT_ACT_CO,INDVDL_CNTCT_ACT_CO,INDVDL_WLK_ACT_CO,INDVDL_GAME_ACT_CO,INDVDL_MVM_CO,INDVDL_MUSIC_LSTN_CO,INDVDL_PET_ACT_CO,INDVDL_SPORTS_INDRCT_VIEWNG_CO,INDVDL_READ_ACT_CO,INDVDL_SHOPNG_BRDOT_CO,INDVDL_NAP_CO,INDVDL_CMC_READ_CO,INDVDL_CLIMD_ACT_CO,INDVDL_RADIO_LSTN_CO,INDVDL_NWSPR_MZN_READ_CO,INDVDL_BATH_ACT_CO,INDVDL_GOLF_ACT_CO,INDVDL_NTHG_ACT_CO,INDVDL_LANG_TCHNLGY_CRTFCT_ACQS_ACT_CO,INDVDL_MOVIE_VIEWNG_CO,INDVDL_CYBER_SPORTS_VIEWNG_CO,INDVDL_FART_ACT_CO,INDVDL_GMBL_LTTR_PRCHS_CO,INDVDL_BLRDRM_ACT_CO,INDVDL_BCYCL_ACT_CO,HMPG_ADDR,INDVDL_LVLH_CRFT_ACT_CO,INDVDL_PHOTO_PHT_CO,INDVDL_CLUB_GROUP_CO,INDVDL_NATURE_ATRCT_VIEWNG_CO,INDVDL_SPORTS_VIEWNG_ACT_CO,INDVDL_DSPY_VIEWNG_CO,INDVDL_FSHNG_ACT_CO,INDVDL_COLCT_ACT_CO,INDVDL_SNGRUM_VISIT_CO,INDVDL_WRTNG_READ_DSCSN_ACT_CO,INDVDL_SCT_VLNTWK_ACT_CO,INDVDL_BTY_ACT_CO,INDVDL_FAMILY_ACQNTNC_VISIT_CO,INDVDL_TRDIT_ART_LRN_ACT_CO,INDVDL_CLTUR_RELICS_VISIT_CO,INDVDL_THEMEPARK_AMSMTPRK_ZOO_BTNCGDN_VISIT_CO,INDVDL_ETC_LSR_ACT_CO,INDVDL_MUSEUM_VIEWNG_CO,INDVDL_DMSTC_CAMPING_ACT_CO,INDVDL_AREA_FSTVL_PARTCPT_CO,INDVDL_GROUP_ACT_CO,INDVDL_TRDIT_ART_PBLPRFR_VIEWNG_CO,INDVDL_TOUR_SHIP_BRDNG_CO,INDVDL_OVSEA_TOUR_CO,INDVDL_LTRTR_EVENT_PARTCPTN_CO
서울,80.2,24.7,54.1,80.7,157.2,336.2,341.6,222,80.6,45.3,56.7,66.8,21.5,14.1,37.7,9.7,40,16.2,66.6,36.6,9.4,21.9,8.7,9.9,37.3,6.4,7.7,6.5,47.1,4.5,2.7,4.7,7.1,3.3,3,2.6,15.2,5.8,30.6,7.9,9.3,4.6,1.4,16.7,1.7,2.4,31.7,45.7,0.1,18.3,15.9,0.8,6.3,17.2,10.4,18.4,1.4,2.6,4.5,1.4
부산,74.8,20.7,70.5,103.8,225.2,474.7,508.4,335.2,96.4,67.4,84.8,80,28,15.8,65.5,10.4,52.4,26.7,82,59.1,10,29.4,23.2,15.5,62.4,8.2,28,5.9,44,4.9,4.1,3.8,7.4,3,7.7,3.6,8.9,8.6,59,9,10.7,7.2,1.4,24.8,1.9,4.4,59.7,77.1,,32.2,13.1,0.4,9.1,12.5,19.8,50.4,2.2,3.9,0.8,0.6
대구,95.1,36.5,71.8,118.9,257,461.2,439,309.3,85.8,61.8,86.4,82.7,35.6,18.9,55.5,10.8,55.5,19.6,86.9,48,17.5,37.4,18.2,12.9,41.5,8.2,32.8,5.3,58.9,3.9,4.9,5.5,7.5,5,4.9,3.4,18.3,8.3,58.9,10.7,10.9,6.8,2.2,18.7,2.9,4.3,49.6,66.1,0.3,42.3,21.2,5.1,8.3,21.4,19.5,40.7,2.8,3.5,1.4,3.2
인천,84.1,18.3,65.1,79.7,160.2,295.8,339.1,215,77.3,27,60.2,69.1,21.4,13.7,37.7,14,46.7,14.7,69.7,31,11.4,20.6,11.8,8.6,21.7,4,20.4,3.1,50,4.9,3.2,2.4,9.7,2.7,1.3,1.8,6.5,5.4,44.4,12.1,9.6,7.3,1,10.8,0.9,4.2,30.8,44.6,0.9,18.3,15.3,,10.2,15.3,12.1,14,1.3,3.9,1.6,1.5
광주,78.7,30.1,68.5,95.5,222.6,421.9,454,300.8,89.9,52.4,76.6,71.9,24.1,15.4,44.5,12.6,51,23.8,76.9,65,17.4,25.5,24.9,13.1,47.7,11.4,31.2,8.7,47.1,4.3,5,1.9,3.1,4.3,3.8,4.1,14.1,9.1,39.3,10.6,9.3,9.7,1.4,20.5,2.1,5.1,38.3,70.4,1,18.6,17.1,4.2,7,19.6,28.2,42.3,2,1.9,3.7,1.6
대전,82.1,19.1,70.7,130.6,263.6,512.7,527.1,338.2,93.4,72,88.3,87.9,40,15.4,72.4,16.7,43.6,11.8,93.4,78,20.5,33,22.6,4.2,58.2,2.6,31.6,5.8,60.7,11.7,2,2.4,13.4,3.9,3.6,3.7,11.1,4.6,52.9,13.2,5.8,9.2,1.2,26.2,0.2,6.2,69.5,84.7,0.2,19.9,27.6,8.8,3.2,20.8,21.5,32.6,1.5,2.5,2,
울산,73.4,27.2,66.4,113.2,216.8,458,518.2,320.9,95.1,61.9,75.7,81.8,29,18,59.1,10.7,49.7,23.8,81.9,60.8,11.8,32.2,27.1,19.3,54,9.3,37.6,8.4,42.8,3.8,4.9,2.4,5.6,3.6,7.9,2.1,11.5,8.2,49.4,11.4,8.5,8.2,0.9,19,1.6,4.4,59.8,71.4,0.2,30.2,9.7,0.3,6.9,16.5,15,55.8,0.9,5.7,1,1.2
세종,92.5,24.5,79.8,164.4,308.9,563,537.2,336,98.2,71.2,96.2,90.4,43,17.4,68.3,20.8,44.6,17.3,93.1,70.8,24.9,37.5,27.6,8,53.3,7.3,40.7,7,59.2,15.8,2.9,3.5,19.4,6.3,3.4,3.6,14,7.6,51,14.8,9.4,16.1,1.1,37.9,2.1,7.7,61.6,84,0.6,33.1,40.3,6.2,6.3,24.1,26.1,31.2,3,8.2,3.8,0.4
경기,63.5,17.5,40.7,65.7,134.3,312.3,339,218.1,79.6,43.7,59.6,65.2,23.4,9.5,29.5,9.1,31.9,12.5,62,46,10.7,18,12.8,4.7,32,6.1,15.7,3.8,39.6,2.6,2.3,1.8,6.4,3.2,2.9,1.8,10.3,4.6,29.1,5.1,8.4,5.5,0.9,11.6,0.8,2.7,33.2,48.7,0.7,15.8,13.9,0.4,4.7,18.3,9.3,18.6,0.7,1.5,1.7,0.4
강원,55.1,17,30.6,69.3,133.6,332.3,354.5,226.9,86.3,28.8,60.1,64,18.5,9.5,35.4,9.4,20.7,12,70.2,45.6,12.8,18.2,5.3,8.2,21.3,4.5,38.5,5,33.3,3.6,1.7,3.5,5.4,3.3,2.4,3.4,7.1,6.1,25.8,4.8,6.6,4.6,1.3,14.4,1.2,3.6,46.4,48.2,0.2,10.9,12.7,1.1,4.1,8.4,22.4,16.6,1.6,3,1.2,0.8
